Timestamp,Response,Gesture Type
2025-01-11 10:58:07,Like,Postive Response
2025-01-11 10:59:01,Like,Postive Response
2025-01-11 10:59:30,Like,Postive Response
2025-01-11 11:00:05,Like,Postive Response
2025-01-11 11:00:16,Like,Postive Response
2025-01-11 11:02:03,Loved it!,Positive Response
2025-01-11 11:02:08,Loved it!,Positive Response
2025-01-11 11:02:24,Loved it!,Positive Response
2025-01-11 11:02:51,Like,Postive Response
2025-01-11 11:02:56,Like,Postive Response
2025-01-11 11:03:25,Good,Positive Response
2025-01-11 11:05:24,Like,Postive Response
2025-01-11 11:07:03,Like,Postive Response
2025-01-11 11:07:28,Like,Postive Response
2025-01-11 11:10:55,Dislike,Negative Response
2025-01-11 11:11:27,Dislike,Negative Response
2025-01-11 11:12:46,Like,Postive Response
2025-01-11 11:19:12,Dislike,Negative Response
2025-01-11 11:19:36,Like,Postive Response
2025-01-11 11:23:28,Like,Postive Response
2025-01-11 11:24:30,Like,Postive Response
2025-01-11 11:24:35,Like,Postive Response
2025-01-11 11:26:06,Like,Postive Response
2025-01-11 11:26:27,Like,Postive Response
2025-01-11 11:29:23,Like,Postive Response
2025-01-11 11:30:17,Like,Postive Response
2025-01-11 11:30:22,Loved it!,Positive Response
2025-01-11 11:33:05,Dislike,Negative Response
2025-01-11 11:36:00,Like,Postive Response
2025-01-11 11:36:15,Dislike,Negative Response
2025-01-11 11:49:39,Good,Positive Response
2025-01-11 11:49:57,Good,Positive Response
2025-01-11 11:50:16,Dislike,Negative Response
2025-01-11 12:00:17,Like,Postive Response
2025-01-11 12:00:27,Dislike,Negative Response
2025-01-11 12:04:12,Like,Postive Response
2025-01-11 12:04:17,Dislike,Negative Response
2025-01-11 12:20:40,Like,Postive Response
2025-01-11 12:22:54,Like,Postive Response
2025-01-11 12:28:02,Like,Postive Response
2025-01-11 12:28:44,Like,Postive Response
2025-01-11 12:30:44,Like,Postive Response
2025-01-11 12:32:42,Like,Postive Response
2025-01-11 12:32:52,Like,Postive Response
2025-01-11 12:33:47,Like,Postive Response
2025-01-11 12:38:45,Like,Postive Response
2025-01-11 12:38:50,Loved it!,Positive Response
2025-01-11 12:38:55,Loved it!,Positive Response
2025-01-11 12:40:12,Like,Postive Response
2025-01-11 12:40:22,Loved it!,Positive Response
2025-01-11 12:40:28,Good,Positive Response
2025-01-11 12:40:39,Like,Postive Response
2025-01-11 12:45:55,Like,Postive Response
2025-01-11 12:48:37,Good,Positive Response
2025-01-11 12:48:47,Good,Positive Response
2025-01-11 12:49:16,Loved it!,Positive Response
2025-01-11 12:49:21,Like,Postive Response
2025-01-11 12:49:32,Loved it!,Positive Response
2025-01-11 12:49:37,Loved it!,Positive Response
2025-01-11 12:51:44,Like,Postive Response
2025-01-11 12:55:04,Like,Postive Response
2025-01-11 12:55:39,Like,Postive Response
2025-01-11 13:00:53,Good,Positive Response
2025-01-11 13:01:32,Like,Postive Response
2025-01-11 13:01:43,Like,Postive Response
2025-01-11 13:01:55,Like,Postive Response
2025-01-11 13:02:23,Like,Postive Response
2025-01-11 13:02:43,Good,Positive Response
2025-01-11 13:04:44,Like,Postive Response
2025-01-11 13:06:40,Like,Postive Response
2025-01-11 13:06:55,Like,Postive Response
2025-01-11 13:07:00,Dislike,Negative Response
2025-01-11 13:07:26,Like,Postive Response
2025-01-11 13:07:37,Like,Postive Response
2025-01-11 13:07:47,Like,Postive Response
2025-01-11 13:10:46,Good,Positive Response
2025-01-11 13:12:55,Like,Postive Response
2025-01-11 13:13:25,Dislike,Negative Response
2025-01-11 13:13:30,Like,Postive Response
2025-01-11 13:13:41,Dislike,Negative Response
2025-01-11 13:13:46,Like,Postive Response
2025-01-11 13:13:56,Like,Postive Response
2025-01-11 13:14:01,Dislike,Negative Response
2025-01-11 13:14:30,Dislike,Negative Response
2025-01-11 13:15:03,Like,Postive Response
2025-01-11 13:15:56,Dislike,Negative Response
2025-01-11 13:19:06,Like,Postive Response
2025-01-11 13:19:27,Dislike,Negative Response
2025-01-11 13:19:46,Like,Postive Response
2025-01-11 13:23:05,Like,Postive Response
2025-01-11 13:23:10,Like,Postive Response
2025-01-11 13:23:35,Like,Postive Response
2025-01-11 13:23:40,Dislike,Negative Response
2025-01-11 13:29:24,Good,Positive Response
2025-01-11 13:41:05,Like,Postive Response
2025-01-11 13:41:35,Like,Postive Response
2025-01-11 13:46:28,Like,Postive Response
2025-01-11 13:49:24,Like,Postive Response
2025-01-11 13:51:08,Like,Postive Response
2025-01-11 13:51:13,Like,Postive Response
2025-01-11 13:51:36,Good,Positive Response
2025-01-11 13:52:57,Like,Postive Response
2025-01-11 13:53:27,Like,Postive Response
2025-01-11 13:55:51,Like,Postive Response
2025-01-11 13:56:01,Like,Postive Response
2025-01-11 13:56:06,Like,Postive Response
2025-01-11 13:56:15,Good,Positive Response
2025-01-11 13:56:20,Good,Positive Response
2025-01-11 13:57:01,Like,Postive Response
2025-01-11 13:59:01,Good,Positive Response
2025-01-11 13:59:29,Like,Postive Response
2025-01-11 13:59:39,Like,Postive Response
2025-01-11 13:59:44,Like,Postive Response
2025-01-11 13:59:56,Dislike,Negative Response
2025-01-11 14:04:17,Like,Postive Response
2025-01-11 14:04:27,Like,Postive Response
2025-01-11 14:34:34,Like,Postive Response
2025-01-11 14:36:11,Loved it!,Positive Response
2025-01-11 14:36:16,Good,Positive Response
2025-01-11 14:36:31,Like,Postive Response
2025-01-11 14:36:41,Dislike,Negative Response
2025-01-11 14:36:46,Like,Postive Response
2025-01-11 14:36:57,Like,Postive Response
2025-01-11 14:37:02,Loved it!,Positive Response
2025-01-11 14:37:07,Loved it!,Positive Response
2025-01-11 14:37:14,Loved it!,Positive Response
2025-01-11 14:40:22,Like,Postive Response
2025-01-11 14:40:28,Like,Postive Response
2025-01-11 14:40:59,Like,Postive Response
2025-01-11 14:46:56,Like,Postive Response
2025-01-11 15:20:02,Like,Postive Response
2025-01-11 15:20:07,Good,Positive Response
2025-01-11 15:21:26,Like,Postive Response
2025-01-11 15:31:43,Like,Postive Response
2025-01-11 15:31:58,Like,Postive Response
2025-01-11 15:41:15,Like,Postive Response
2025-01-11 15:41:20,Like,Postive Response
2025-01-11 15:41:27,Like,Postive Response
2025-01-11 15:41:32,Good,Positive Response
2025-01-11 15:41:42,Like,Postive Response
2025-01-11 15:41:48,Dislike,Negative Response
2025-01-11 15:43:33,Like,Postive Response
2025-01-11 15:43:38,Dislike,Negative Response
2025-01-11 15:43:48,Like,Postive Response
2025-01-11 15:48:43,Like,Postive Response
2025-01-11 15:54:33,Like,Postive Response
2025-01-11 15:54:40,Like,Postive Response
2025-01-11 15:54:46,Loved it!,Positive Response
2025-01-11 15:55:16,Loved it!,Positive Response
2025-01-11 15:57:44,Like,Postive Response
2025-01-11 15:57:58,Dislike,Negative Response
2025-01-11 16:00:57,Like,Postive Response
2025-01-11 16:03:51,Loved it!,Positive Response
2025-01-11 16:03:56,Loved it!,Positive Response
2025-01-11 16:07:07,Good,Positive Response
2025-01-11 16:10:06,Like,Postive Response
2025-01-11 16:10:18,Like,Postive Response
2025-01-11 16:10:34,Like,Postive Response
2025-01-11 16:11:35,Like,Postive Response
2025-01-11 16:11:40,Dislike,Negative Response
2025-01-11 16:11:45,Like,Postive Response
2025-01-11 16:19:50,Like,Postive Response
2025-01-11 16:32:25,Like,Postive Response
2025-01-11 16:40:06,Like,Postive Response
2025-01-12 10:20:43,Like,Postive Response
2025-01-12 10:21:06,Like,Postive Response
2025-01-12 10:21:12,Loved it!,Positive Response
2025-01-12 10:21:22,Like,Postive Response
2025-01-12 10:21:34,Loved it!,Positive Response
2025-01-12 10:22:28,Like,Postive Response
2025-01-12 10:24:42,Like,Postive Response
2025-01-12 10:24:49,Like,Postive Response
2025-01-12 10:24:54,Good,Positive Response
2025-01-12 10:25:04,Good,Positive Response
2025-01-12 10:25:14,Like,Postive Response
2025-01-12 10:25:24,Loved it!,Positive Response
2025-01-12 10:29:21,Like,Postive Response
2025-01-12 10:29:26,Loved it!,Positive Response
2025-01-12 10:29:33,Like,Postive Response
2025-01-12 10:29:44,Like,Postive Response
2025-01-12 10:29:54,Good,Positive Response
2025-01-12 10:30:04,Good,Positive Response
2025-01-12 10:30:42,Like,Postive Response
2025-01-12 10:34:02,Like,Postive Response
2025-01-12 10:35:17,Good,Positive Response
2025-01-12 10:36:09,Like,Postive Response
2025-01-12 10:36:19,Good,Positive Response
2025-01-12 10:36:26,Like,Postive Response
2025-01-12 10:38:02,Like,Postive Response
2025-01-12 10:38:07,Good,Positive Response
2025-01-12 10:38:18,Loved it!,Positive Response
2025-01-12 10:38:28,Like,Postive Response
2025-01-12 10:39:58,Like,Postive Response
2025-01-12 10:41:51,Like,Postive Response
2025-01-12 10:44:35,Like,Postive Response
2025-01-12 10:44:40,Like,Postive Response
2025-01-12 10:44:57,Like,Postive Response
2025-01-12 10:45:31,Like,Postive Response
2025-01-12 10:45:49,Loved it!,Positive Response
2025-01-12 10:45:54,Good,Positive Response
2025-01-12 11:04:40,Like,Postive Response
2025-01-12 11:26:59,Good,Positive Response
2025-01-12 11:39:37,Like,Postive Response
2025-01-12 11:40:46,Good,Positive Response
2025-01-12 11:41:01,Good,Positive Response
2025-01-12 11:41:06,Like,Postive Response
2025-01-12 11:41:50,Good,Positive Response
2025-01-12 11:45:07,Good,Positive Response
2025-01-12 11:46:27,Like,Postive Response
2025-01-12 11:46:32,Like,Postive Response
2025-01-12 11:46:42,Dislike,Negative Response
2025-01-12 12:05:18,Like,Postive Response
2025-01-12 12:05:27,Like,Postive Response
2025-01-12 12:05:33,Good,Positive Response
2025-01-12 12:05:38,Good,Positive Response
2025-01-12 12:06:00,Like,Postive Response
2025-01-12 12:06:05,Good,Positive Response
2025-01-12 12:06:15,Dislike,Negative Response
2025-01-12 12:06:27,Good,Positive Response
2025-01-12 12:16:59,Like,Postive Response
2025-01-12 12:17:58,Like,Postive Response
2025-01-12 12:18:38,Like,Postive Response
2025-01-12 12:18:54,Good,Positive Response
2025-01-12 12:19:19,Good,Positive Response
2025-01-12 12:19:29,Loved it!,Positive Response
2025-01-12 12:20:27,Like,Postive Response
2025-01-12 12:20:32,Like,Postive Response
2025-01-12 12:34:25,Like,Postive Response
2025-01-12 12:34:30,Like,Postive Response
2025-01-12 12:36:10,Like,Postive Response
2025-01-12 12:43:10,Like,Postive Response
2025-01-12 12:52:40,Like,Postive Response
2025-01-12 12:56:23,Like,Postive Response
2025-01-12 12:58:09,Like,Postive Response
2025-01-12 13:07:25,Like,Postive Response
2025-01-12 13:09:06,Like,Postive Response
2025-01-12 13:09:11,Dislike,Negative Response
2025-01-12 13:16:01,Like,Postive Response
2025-01-12 13:16:06,Dislike,Negative Response
2025-01-12 13:16:27,Good,Positive Response
2025-01-12 13:16:37,Loved it!,Positive Response
2025-01-12 13:20:30,Like,Postive Response
2025-01-12 13:24:06,Like,Postive Response
2025-01-12 13:30:00,Like,Postive Response
2025-01-12 13:39:01,Like,Postive Response
2025-01-12 13:39:06,Like,Postive Response
2025-01-12 13:41:27,Like,Postive Response
2025-01-12 14:17:33,Like,Postive Response
2025-01-12 14:19:16,Good,Positive Response
2025-01-12 14:19:48,Like,Postive Response
2025-01-12 14:19:53,Loved it!,Positive Response
2025-01-12 14:20:03,Like,Postive Response
2025-01-12 14:21:43,Like,Postive Response
